Sample,X2FL,X3FL,DFLac,X3SL,X6SL,LNT,LNnT,LNFP.I,LNFP.II,LNFP.III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
HM44,4.123404589,1045.893779,26.6735661,162.4398454,280.5956938,958.8111624,14.97093536,75.44101836,444.2783646,9.441370037,62.27791088,7.624288684,39.91280579,10.75820464,83.21271872,36.56838669,33.93543244,51.80945855,6.776500375,3355.544846,796.5350941,1868.59939
HM1471,14.27631094,1026.899717,29.98658938,139.8497221,305.9073202,906.7533536,14.12266881,73.63468042,362.825301,9.655171549,64.84807619,7.674331153,25.69482531,12.4452715,76.91417587,33.21737947,26.58442295,44.48596048,9.585877918,3185.361156,780.2514782,1729.526196
HM51,1589.488247,4113.467413,483.752318,44.64048815,153.4344576,73.04922119,87.31072691,27.76723437,633.2088441,2.002972518,8.209194587,36.89908041,171.0252404,36.56557505,8.983854777,32.78534703,52.33579139,165.340001,48.55698605,7768.822994,688.9449044,7978.286759
HM585,1438.656347,3284.885274,447.68016,80.67319081,115.3338473,92.20638513,141.7988706,60.14918141,596.8090047,3.346088006,10.29734967,48.3316572,292.8425636,47.20119475,17.50932261,32.11075912,41.23452065,122.1924533,47.24393398,6920.502104,628.5274647,7101.663596
HM74,2463.211602,2071.718913,385.2457941,57.66496459,344.5644238,765.4837341,59.51561266,287.5222574,811.0807087,8.054465347,47.42499943,51.80587921,700.343564,40.10172914,69.93886397,100.0865494,63.90397858,132.5525503,51.04341187,8511.264002,1008.529919,8173.21372
HM1279,2777.559556,2309.623116,660.1100711,90.75863498,281.370041,807.6116621,60.96929859,270.4900113,990.951786,12.89970163,105.1219811,42.68226,1062.013608,20.57670215,147.7929044,51.18873357,98.86155169,44.8567715,27.70788568,9863.146277,960.6480402,10099.54014
HM118,5.887626166,965.9430705,24.33616219,141.8325925,1469.228636,3471.02526,164.4507456,328.6072512,553.1809161,33.08124908,261.0435658,54.81228585,57.49083245,19.49113444,354.5060195,137.5890801,38.65102349,54.78099307,58.56758704,8194.506031,2862.62628,2320.026222
HM1440,7.130268751,923.9230777,30.72865173,141.4888328,1577.833442,4254.289919,96.15405935,377.5857094,434.4131311,32.77060369,279.3861757,30.62161611,64.28416327,16.52471652,361.1843439,118.9975664,26.88852619,35.91430116,30.92742813,8841.046533,2885.382213,2174.537341
HM81,2852.143891,2571.227925,581.0431972,108.1592425,308.0840968,787.9924698,233.3839185,360.7909864,1091.964513,7.963516474,43.28788566,67.08288741,956.3299249,62.78899113,67.79074688,72.59303224,117.4736095,147.7794484,51.01260299,10488.89289,1059.779709,10414.15678
HM1220,3108.958471,1872.231834,463.7617854,100.183904,379.5389979,968.2060916,105.0044259,508.8605548,783.8763708,10.16452711,49.13755266,35.20859959,881.7367338,36.21663754,93.241335,35.86173247,63.50029913,65.55463898,29.55742827,9590.80192,940.7758587,9203.505765
HM259,4693.050094,190.2060874,101.7264671,161.4316888,22.66839958,188.0374339,35.73439717,644.1455465,76.52423497,7.982208405,18.75607866,7.780978425,1.418710313,8.883080871,41.30729382,14.51459083,20.62355863,16.09909186,2.740445598,6253.630387,330.9308081,5890.059326
HM1677,5169.192689,247.4274633,173.0720863,112.8847919,57.6673267,187.1627724,20.25429331,567.9194464,72.66469987,10.80327134,21.24210461,6.516738354,2.301347767,9.432271436,41.82396589,12.20080258,10.9898995,4.383569382,1.0877958,6729.027335,292.9016237,6457.318609
HM484,1938.769059,2422.96833,355.8005937,133.7192501,86.00937507,528.6082828,123.2637591,276.3060236,643.7165822,6.696936601,40.7926886,23.55676767,545.684143,29.4135307,63.09587911,34.21770718,60.49658245,76.40293753,14.15361432,7403.672043,591.3829434,7323.040214
HM1634,2301.572427,1582.591692,322.6105302,72.57818203,316.3404482,875.2337242,101.1185772,517.3527783,633.3876089,8.244612577,55.14070917,30.40453391,616.3255587,32.56474105,75.48381346,46.79074014,50.94483306,63.64897246,14.71277432,7717.047257,782.1549937,7133.350675
HM212,4475.008061,1748.27069,714.6559165,84.26913214,103.9403015,300.7054946,126.3171644,405.9332246,467.6933619,6.59800457,33.23579203,43.52314517,672.1180454,17.78513839,54.20587229,14.1240551,33.36747755,43.75436857,10.2520248,9355.757271,481.3929022,10001.66464
HM1177,3947.445803,1441.084917,447.0132034,110.5392048,190.2494409,554.1323765,87.66095716,663.5250904,538.7957068,7.473513673,45.84991502,31.2738366,908.7548773,18.40331362,67.21932364,22.01905106,38.73301887,51.62668214,9.59966684,9181.399899,634.8037425,9460.972964
HM140,2509.923548,2094.69777,438.8830424,88.09815907,139.5860438,326.7800695,59.27594153,206.3720687,489.2008163,6.460142181,32.0611062,15.2028677,393.3172449,20.13268729,53.91739488,35.89758277,33.25773575,70.64199634,6.805435299,7020.511652,537.6778298,7144.10997
HM805,2120.899475,2178.271867,469.8936379,70.30430649,220.7587691,579.7813244,80.50791603,319.6276845,657.4953037,9.100182125,36.64276738,21.48851169,526.632773,31.16174796,74.2804319,55.05899756,46.19151045,97.44391968,8.675747504,7604.216873,709.9945528,7523.333272
HM854,3237.174703,2207.98384,578.282978,94.98927306,162.6420262,325.4913576,35.94456962,234.6007823,548.977622,6.017382606,37.8326437,27.87357848,703.0703561,21.93388678,59.70477897,35.66464629,41.82667662,70.9759646,21.47830753,8452.465373,627.6556237,8987.754961
HM1838,2433.996199,2328.308197,483.2988214,73.98007685,197.0196984,472.9951908,47.23211332,323.4367294,802.2011485,6.409541324,53.26817909,31.93558165,819.0552795,21.37543447,67.23907189,29.78936666,62.44761117,63.02085257,24.69284548,8341.701939,666.1090758,8716.765459
HM362,3776.558411,1549.578006,440.6210732,96.30585447,361.3785926,221.1527566,88.5401926,173.0328325,325.5425742,4.668433948,22.9592665,67.92667135,360.7768119,52.82746038,33.1299074,91.18217491,65.82158183,35.8436302,84.59185205,7852.438084,855.7011642,7690.844997
HM1249,4743.365536,1164.324289,541.9276202,93.13736988,455.5980017,269.7312229,79.21546507,238.62925,378.8176883,5.170984801,24.72665259,88.47656542,448.2960367,52.44955041,31.34859907,122.8590165,26.70998241,98.8325773,104.9062988,8968.522707,1132.11354,8785.86662
HM588,4051.692619,1995.857566,742.4740744,184.6436603,201.3145032,306.8604271,188.8630265,227.196187,584.5399227,3.521228724,33.92821574,89.09688918,616.8779181,54.5989619,54.42103378,60.16248687,39.60235805,113.6145612,69.65519475,9618.920834,984.3648478,9834.493273
HM1586,4325.668351,1174.565851,447.5072499,59.09442941,360.2052486,459.8975724,141.9954899,439.4075008,469.3078664,5.56351965,30.81691891,83.53608003,578.4898186,66.21406155,39.56320381,98.05207548,30.5760702,99.2779285,72.16333306,8981.902569,955.6616076,8724.98937
HM567,12.88050726,6678.131591,13.14156481,134.1783594,236.4380151,303.1325066,17.9799813,69.55128486,1071.126302,3.649959761,48.11973843,25.96356455,417.5612003,14.68628996,31.16653877,38.31176493,63.32754939,167.92699,45.8744947,9393.148203,934.6357243,9029.639029
HM1547,8.312209254,5271.832034,43.1432582,130.8780938,330.0826006,456.4674221,20.05999337,101.773853,1275.045899,4.337567503,67.67137583,41.44994747,422.8741459,34.85501106,32.28158281,71.45886452,110.4928668,197.8403008,52.47467248,8673.331698,1135.27513,8083.62127
HM571,5071.140322,2107.800191,839.6972738,153.5043836,100.8691823,363.6715838,97.12813965,273.1508931,715.7172388,5.248849729,39.62427539,34.79422037,985.7403715,35.17092039,54.77034699,52.95173803,49.91923559,129.4404975,30.77794647,11141.11761,758.7696435,12106.16349
HM1437,4175.58498,2105.211324,614.3621199,91.38269629,184.4773447,469.8766735,75.5397402,294.8238588,754.2564535,4.61461869,35.09251633,33.20270848,864.3305539,31.30207838,49.0784149,80.26957304,62.75624238,163.9305759,25.48866142,10115.58113,821.1505702,10661.58922
HM776,2296.123385,2729.175595,502.1397058,70.7251206,170.684733,471.9374112,42.7977734,211.7893064,589.2337001,6.592494236,31.88446067,14.20004922,597.2198907,16.15973067,49.03026767,24.50206466,30.70097165,59.80419825,6.276147248,7920.977005,517.7155899,8177.34188
HM1605,2424.150541,2602.694267,482.0461205,78.94067343,147.5883132,461.8511683,61.87481612,180.9488138,610.5943444,6.413774654,26.94904527,20.63623167,550.70691,18.97696058,51.21283981,21.05801565,40.48631142,56.90235999,11.29701621,7855.328523,512.9386956,8049.2408
